Data,Carga
21/02/2020 12:00,76416.69
21/02/2020 13:00,78294.429
21/02/2020 14:00,79683.618
21/02/2020 15:00,79317.136
21/02/2020 16:00,77199.338
21/02/2020 17:00,73077.44
21/02/2020 18:00,72758.365
21/02/2020 19:00,76467.735
21/02/2020 20:00,75860.924
21/02/2020 21:00,75833.241
21/02/2020 22:00,73667.702
21/02/2020 23:00,70672.256
22/02/2020 00:00,66901.165
22/02/2020 01:00,63988.704
22/02/2020 02:00,61781.558
22/02/2020 03:00,60521.066
22/02/2020 04:00,60000.809
22/02/2020 05:00,59569.572
22/02/2020 06:00,57762.159
22/02/2020 07:00,59072.279
22/02/2020 08:00,61649.413
22/02/2020 09:00,63316.953
22/02/2020 10:00,64173.716
22/02/2020 11:00,64330.838
22/02/2020 12:00,63636.289
22/02/2020 13:00,63467.862
22/02/2020 14:00,63294.941
22/02/2020 15:00,63131.866
22/02/2020 16:00,63309.134
22/02/2020 17:00,64258.037
22/02/2020 18:00,68014.385
22/02/2020 19:00,71497.993
22/02/2020 20:00,70287.56
22/02/2020 21:00,67983.292
22/02/2020 22:00,65074.037
22/02/2020 23:00,62059.737
23/02/2020 00:00,58676.093
23/02/2020 01:00,56138.835
23/02/2020 02:00,54530.084
23/02/2020 03:00,53405.597
23/02/2020 04:00,52684.41
23/02/2020 05:00,51995.774
23/02/2020 06:00,49243.391
23/02/2020 07:00,49791.565
23/02/2020 08:00,51100.285
23/02/2020 09:00,52343.047
23/02/2020 10:00,53586.176
23/02/2020 11:00,54628.027
23/02/2020 12:00,54856.65
23/02/2020 13:00,54622.756
23/02/2020 14:00,54717.042
23/02/2020 15:00,54862.647
23/02/2020 16:00,55741.623
23/02/2020 17:00,57616.961
23/02/2020 18:00,62304.07
23/02/2020 19:00,66758.676
23/02/2020 20:00,66144.187
23/02/2020 21:00,65093.612
23/02/2020 22:00,63630.079
23/02/2020 23:00,61019.744
24/02/2020 00:00,58288.401
24/02/2020 01:00,56083.714
24/02/2020 02:00,54771.457
24/02/2020 03:00,53859.634
24/02/2020 04:00,53804.169
24/02/2020 05:00,54134.221
24/02/2020 06:00,53305.229
24/02/2020 07:00,55785.283
24/02/2020 08:00,59093.367
24/02/2020 09:00,61415.567
24/02/2020 10:00,63220.066
24/02/2020 11:00,63857.155
24/02/2020 12:00,63329.729
24/02/2020 13:00,64830.329
24/02/2020 14:00,65700.255
24/02/2020 15:00,66097.797
24/02/2020 16:00,66198.31
24/02/2020 17:00,65256.907
24/02/2020 18:00,66838.802
24/02/2020 19:00,70631.582
24/02/2020 20:00,69960.076
24/02/2020 21:00,69631.401
24/02/2020 22:00,68200.985
24/02/2020 23:00,65174.926
25/02/2020 00:00,62197.104
25/02/2020 01:00,59739.676
25/02/2020 02:00,58068.681
25/02/2020 03:00,57189.786
25/02/2020 04:00,56849.558
25/02/2020 05:00,56917.115
25/02/2020 06:00,55377.64
25/02/2020 07:00,56711.592
25/02/2020 08:00,59110.154
25/02/2020 09:00,60687.761
25/02/2020 10:00,62350.267
25/02/2020 11:00,63491.164
25/02/2020 12:00,63295.051
25/02/2020 13:00,64578.075
25/02/2020 14:00,65423.703
25/02/2020 15:00,65754.595
25/02/2020 16:00,66014.207
25/02/2020 17:00,66048.901
25/02/2020 18:00,69345.15
25/02/2020 19:00,73132.659
25/02/2020 20:00,72381.655
25/02/2020 21:00,71702.853
25/02/2020 22:00,70003.448
25/02/2020 23:00,67163.766
26/02/2020 00:00,63997.723
26/02/2020 01:00,61429.825
26/02/2020 02:00,59771.519
26/02/2020 03:00,58796.236
26/02/2020 04:00,58526.008
26/02/2020 05:00,59289.021
26/02/2020 06:00,59727.272
26/02/2020 07:00,63057.567
26/02/2020 08:00,66762.873
26/02/2020 09:00,69148.591
26/02/2020 10:00,71180.527
26/02/2020 11:00,71875.911
26/02/2020 12:00,71300.168
26/02/2020 13:00,74285.028
26/02/2020 14:00,75883.862
26/02/2020 15:00,76048.461
26/02/2020 16:00,75952.349
26/02/2020 17:00,72923.83
26/02/2020 18:00,73216.848
26/02/2020 19:00,75895.143
26/02/2020 20:00,75702.414
26/02/2020 21:00,76098.313
26/02/2020 22:00,73990.275
26/02/2020 23:00,69829.112
27/02/2020 00:00,65651.124
27/02/2020 01:00,62548.41
27/02/2020 02:00,60717.866
27/02/2020 03:00,59740.308
27/02/2020 04:00,59591.505
27/02/2020 05:00,60860.226
27/02/2020 06:00,62171.015
27/02/2020 07:00,66190.123
27/02/2020 08:00,70831.343
27/02/2020 09:00,73094.401
27/02/2020 10:00,74722.331
27/02/2020 11:00,74732.952
27/02/2020 12:00,72367.71
27/02/2020 13:00,74570.718
27/02/2020 14:00,76179.992
27/02/2020 15:00,76609.138
27/02/2020 16:00,76131.893
27/02/2020 17:00,72548.563
27/02/2020 18:00,72571.822
27/02/2020 19:00,76171.309
27/02/2020 20:00,75641.822
27/02/2020 21:00,75430.276
27/02/2020 22:00,72764.456
27/02/2020 23:00,68850.943
28/02/2020 00:00,64568.253
28/02/2020 01:00,61443.708
28/02/2020 02:00,59650.329
28/02/2020 03:00,58642.611
28/02/2020 04:00,58582.236
28/02/2020 05:00,60001.551
28/02/2020 06:00,61522.374
28/02/2020 07:00,65711.411
28/02/2020 08:00,70675.437
28/02/2020 09:00,72778.19
28/02/2020 10:00,74303.113
28/02/2020 11:00,74269.766
28/02/2020 12:00,72092.601
28/02/2020 13:00,74260.706
28/02/2020 14:00,75857.045
28/02/2020 15:00,75842.805
28/02/2020 16:00,74553.32
28/02/2020 17:00,71236.673
28/02/2020 18:00,71612.087
28/02/2020 19:00,74998.331
28/02/2020 20:00,74281.369
28/02/2020 21:00,73909.718
28/02/2020 22:00,71556.945
28/02/2020 23:00,68257.127
29/02/2020 00:00,64089.984
29/02/2020 01:00,60855.718
29/02/2020 02:00,58806.84
29/02/2020 03:00,57628.418
29/02/2020 04:00,57131.535
29/02/2020 05:00,57102.282
29/02/2020 06:00,55773.183
29/02/2020 07:00,57733.847
29/02/2020 08:00,61099.293
29/02/2020 09:00,63362.027
29/02/2020 10:00,64736.365
